x	y	scalerank	labelrank	name
31.984341999038918	46.967739073772123	8	5	Mykolayiv
31.301541299166331	51.504929828998513	8	5	Chernihiv
30.210910195646363	48.754296690966555	8	5	Uman
30.780901243825667	50.494319680882541	8	5	Brovary
30.130915078458543	49.774311949759863	8	5	Bila Tserkva
30.666592975596075	46.300002053912635	8	5	Illichivsk
33.209021767924014	51.242387714739607	8	5	Konotop
33.344982461283962	47.928326435429483	8	5	Kryvyy Rih
37.974622353880534	48.029663919153904	8	5	Makiyivka
38.054669147500704	48.299647439662806	8	5	Horlivka
37.534390827186144	48.719363422737331	8	5	Kramatorsk
36.786839557651774	46.756821715372723	8	5	Berdyansk
40.120021116910038	44.609976012239144	8	2	Maykop
43.469945840230594	44.159900125193133	8	2	Georgievsk
43.090020710020781	44.079956684437548	8	2	Pyatigorsk
42.720017454810943	43.909967060413408	8	2	Kislovodsk
41.950038613662173	44.620052916536054	8	2	Nevinnomyssk
31.944861204767903	52.53481528635939	8	2	Novozybkov
38.50001664099193	52.580006326398575	8	2	Yelets
39.744850218470958	47.136824360231117	8	2	Bataysk
38.919991006228031	47.229996967653335	8	2	Taganrog
40.080023558315986	47.419959532758241	8	2	Novocherkassk
40.2517960192543	48.331764342332235	8	2	Kamensk Shakhtinskiy
39.919981647508166	47.769989846887313	8	2	Novoshakhtinsk
36.89437821325123	50.414350401910724	8	2	Shebekino
37.384322467810534	51.274349588112273	8	2	Gubkin
39.728727171595949	44.468718484569365	8	2	Apsheronsk
40.582111774463954	45.447082538935319	8	2	Kropotkin
42.717433633196492	52.657391783755713	8	2	Kirsanov
40.49999792355203	52.899986795149914	8	2	Michurinsk
42.088738157933506	51.368710753477217	8	2	Borisoglebsk
34.400008502954847	45.71704022122799	7	5	Dzhankoy
33.363069212585913	45.196891091994019	7	5	Yevpatoriya
36.488098102572508	45.368508523635398	7	5	Kerch
34.098734902693138	44.949154275586807	7	5	Simferopol
32.600664887186895	46.63253717979012	7	5	Kherson
31.333322305025831	47.550365009646839	7	5	Voznesensk
31.890290892267615	51.054078795468115	7	5	Nizhyn
32.07090002312782	49.434720274953861	7	5	Cherkasy
32.260294147477452	48.504053567593303	7	5	Kirovohrad
33.479651243836543	51.873408629455696	7	5	Shostka
34.406209674829825	47.566591409386433	7	5	Nikopol
37.598056191769558	49.721782856335153	7	5	Kupyansk
38.42735957718952	48.920410582568991	7	5	Lysychansk
39.33438431677655	48.569760151252467	7	5	Luhansk
34.57028234735651	49.574039936412646	7	5	Poltava
33.42962845737793	49.083527241098238	7	5	Kremenchuk
35.377468219755599	46.837824522990275	7	5	Melitopol
29.639988971685682	46.853094908732487	7	8	Tiraspol
42.060006061579088	44.290408954946258	7	2	Cherkessk
43.43439245481386	45.104726175001531	7	2	Blagodarnyy
43.878706419659352	44.40910971992065	7	2	Zelenokumsk
32.244842894222302	52.765240497948923	7	2	Klintsy
35.274373737333349	51.69476320302266	7	2	Lgov
35.404391640979611	52.354774596254515	7	2	Zheleznogorsk
39.934347695685176	52.494766051333158	7	2	Gryazi
37.604360716509348	52.424796162009898	7	2	Livny
36.547164264682181	53.264744892482099	7	2	Mtsensk
41.542001504285452	46.477510598835124	7	2	Salsk
40.786130329152115	48.186501891159764	7	2	Belaya Kalitva
40.270037799853242	47.720380471886983	7	2	Shakhty
40.397420205452704	48.937851378467485	7	2	Millerovo
38.121538450886419	53.149118875229021	7	2	Yefremov
43.651795205465703	49.77219321603593	7	2	Frolovo
43.217454792052592	50.067859923393883	7	2	Mikhaylovka
42.003058633193575	50.773449929906974	7	2	Uryupinsk
37.839953571327896	51.300420348203431	7	2	Starsy Oskol
38.693079792034382	50.653483092341503	7	2	Alekseyevka
38.098697467813281	50.20909161284743	7	2	Valuyki
39.064374958051474	44.114760761586183	7	2	Tuapse
38.064384316771566	44.57475852363234	7	2	Gelendzhik
40.744272418995649	44.634780699739224	7	2	Labinsk
41.130036986054563	45.000391458204206	7	2	Armavir
38.944382282269828	45.624746113154742	7	2	Timashevsk
40.137746133186113	45.853104267452522	7	2	Tikhoretsk
38.263390257527419	46.698789081909013	7	2	Yeysk
44.044381061587046	53.19472332672666	7	2	Kamenka
41.504381061577021	52.594734109601859	7	2	Kotovsk
43.163091185281473	51.553505675352881	7	2	Balashov
29.272156126632183	52.045956236878283	7	6	Mazyr
35.174862774553389	47.859243037857368	6	5	Zaporizhzhya
36.190028441112872	51.73998008127819	6	2	Kursk
41.430018675508961	52.730023009341949	6	2	Tambov
34.15940303420382	44.499310932486139	6	5	Yalta
30.098875690437524	51.38940716461002	6	5	Chernobyl
34.780863808945867	50.924293435767026	6	5	Sumy
37.556198281613263	47.096180846233551	6	5	Mariupol
31.000009316743274	52.430015481671546	6	6	Homyel
39.639998737350709	52.620003884992627	6	2	Lipetsk
36.069984088898991	52.969956684473118	6	2	Orel
42.159948281631671	47.509979877810622	6	2	Volgodonsk
36.599925902052007	50.629996153864909	6	2	Belgorod
37.769932005572514	44.72996868802079	6	2	Novorossiysk
30.708055320108315	46.491962154062833	4	5	Odessa
34.998077699682767	48.481918208758316	4	5	Dnipropetrovsk
37.828034161282631	48.001947505631392	4	5	Donetsk
36.248078920390981	50.001928788191321	4	5	Kharkiv
41.980010944391324	45.050000833204535	4	2	Stavropol
34.429980833683999	53.259990660711139	4	2	Bryansk
39.710709942540234	47.236593705172595	4	2	Rostov
39.72996740597091	43.590012429878243	4	2	Sochi
39.000037799848201	45.019976826042807	4	2	Krasnodar
39.268049623527986	51.73192655024269	4	2	Voronezh
33.464975137065608	44.599976622590759	3	5	Sevastapol
30.514682110472165	50.435313187607221	1	5	Kiev
